Name,Rk,Uni,Birth,Unnamed: 4,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
Michael Kopech,1,45.0,us US,Pitcher,*,,28,R,R,"6' 3""",220,Apr 30 1996,2014,kopecmi01
Ben Casparius,2,78.0,us US,Pitcher,*,,25,R,R,"6' 2""",215,Feb 11 1999,2018,caspabe01
Justin Wrobleski,3,70.0,us US,Pitcher,*,,23,L,L,"6' 1""",194,Jul 14 2000,2019,wroblju01
Bobby Miller,4,28.0,us US,Pitcher,*,,25,L,R,"6' 5""",220,Apr 5 1999,2018,millebo06
Jack Dreyer,5,86.0,us US,Pitcher,*,,25,R,L,"6' 2""",205,Feb 27 1999,2018,redirect.fcgi?player=1&mlb_ID=676263
Michael Grove,6,29.0,us US,Pitcher,*,,27,R,R,"6' 3""",200,Dec 18 1996,2016,grovemi01
Kyle Hurt,7,63.0,us US,Pitcher,*,,26,R,R,"6' 3""",240,May 30 1998,2018,hurtky01
Dustin May,8,85.0,us US,Pitcher,*,,26,R,R,"6' 6""",180,Sep 6 1997,2016,maydu01
Tony Gonsolin,9,26.0,us US,Pitcher,*,,30,R,R,"6' 3""",205,May 14 1994,2013,gonsoto01
Brusdar Graterol,10,48.0,ve VE,Pitcher,*,,25,R,R,"6' 1""",265,Aug 26 1998,2015,gratebr01
Alex Vesia,11,51.0,us US,Pitcher,*,,28,L,L,"6' 1""",209,Apr 11 1996,2015,vesiaal01
Tanner Scott,12,66.0,us US,Pitcher,*,,29,R,L,"6' 0""",235,Jul 22 1994,2013,scottta01
Edgardo Henriquez,13,60.0,ve VE,Pitcher,*,,22,R,R,"6' 4""",200,Jun 24 2002,2019,henried01
Evan Phillips,14,59.0,us US,Pitcher,*,,29,R,R,"6' 2""",215,Sep 11 1994,2013,phillev01
Emmet Sheehan,15,80.0,us US,Pitcher,*,,24,R,R,"6' 5""",220,Nov 15 1999,2018,sheehem01
Anthony Banda,16,43.0,us US,Pitcher,*,,30,L,L,"6' 2""",221,Aug 10 1993,2012,bandaan01
Tyler Glasnow,17,31.0,us US,Pitcher,*,,30,L,R,"6' 8""",225,Aug 23 1993,2012,glasnty01
Landon Knack,18,96.0,us US,Pitcher,*,,26,L,R,"6' 2""",220,Jul 15 1997,2019,knackla01
Blake Snell,19,7.0,us US,Pitcher,*,,31,L,L,"6' 4""",225,Dec 4 1992,2011,snellbl01
River Ryan,20,77.0,us US,Pitcher,*,,25,R,R,"6' 2""",195,Aug 17 1998,2017,ryanri01
Nick Frasso,21,79.0,us US,Pitcher,*,,25,R,R,"6' 5""",200,Oct 18 1998,2018,redirect.fcgi?player=1&mlb_ID=693308
Blake Treinen,22,49.0,us US,Pitcher,*,,36,R,R,"6' 5""",225,Jun 30 1988,2011,treinbl01
Gavin Stone,23,35.0,us US,Pitcher,*,,25,R,R,"6' 1""",175,Oct 15 1998,2018,stonega01
Yoshinobu Yamamoto,24,18.0,jp JP,Pitcher,*,,25,R,R,"5' 10""",176,Aug 17 1998,2017,yamamyo01
Kirby Yates,25,38.0,us US,Pitcher,*,,37,L,R,"5' 10""",205,Mar 25 1987,2009,yateski01
Hyeseong Kim,26,6.0,kr KR,Position,*,,25,L,R,"5' 10""",176,Jan 27 1999,2017,redirect.fcgi?player=1&mlb_ID=808975
Andy Pages,27,44.0,cu CU,Position,*,,23,R,R,"6' 0""",212,Dec 8 2000,2018,pagesan01
James Outman,28,33.0,us US,Position,*,,27,L,R,"6' 2""",215,May 14 1997,2016,outmaja01
Hunter Feduccia,29,67.0,us US,Position,*,,27,L,R,"6' 1""",215,Jun 5 1997,2016,feduchu01
Will Smith,30,16.0,us US,Position,*,,29,R,R,"5' 10""",195,Mar 28 1995,2014,smithwi05
Tommy Edman,31,25.0,us US,Position,*,,29,S,R,"5' 10""",193,May 9 1995,2014,edmanto01
Shohei Ohtani,32,17.0,jp JP,Position,*,,29,L,R,"6' 4""",210,Jul 5 1994,2013,ohtansh01
Michael Conforto,33,23.0,us US,Position,*,,31,L,R,"6' 1""",215,Mar 1 1993,2012,confomi01
Chris Taylor,34,3.0,us US,Position,*,,33,R,R,"6' 1""",196,Aug 29 1990,2011,tayloch03
Teoscar Hernández,35,37.0,do DO,Position,*,,31,R,R,"6' 2""",215,Oct 15 1992,2011,hernate01
Mookie Betts,36,50.0,us US,Position,*,,31,R,R,"5' 9""",180,Oct 7 1992,2011,bettsmo01
Austin Barnes,37,15.0,us US,Position,*,,34,R,R,"5' 10""",187,Dec 28 1989,2011,barneau01
Max Muncy,38,13.0,us US,Position,*,,33,L,R,"6' 0""",215,Aug 25 1990,2010,muncyma01
Freddie Freeman,39,5.0,us US,Position,*,,34,L,R,"6' 5""",220,Sep 12 1989,2007,freemfr01
Miguel Rojas,40,72.0,ve VE,Position,*,,35,R,R,"6' 0""",188,Feb 24 1989,2006,rojasmi02
Ryan Pressly,1,55.0,us US,Pitcher,*,,35,R,R,"6' 2""",207,Dec 15 1988,2008,pressry01
Jordan Wicks,2,36.0,us US,Pitcher,*,,24,L,L,"6' 3""",220,Sep 1 1999,2019,wicksjo01
Daniel Palencia,3,48.0,ve VE,Pitcher,*,,24,R,R,"5' 11""",160,Feb 5 2000,2021,palenda01
Porter Hodge,4,37.0,us US,Pitcher,*,,23,R,R,"6' 4""",230,Feb 21 2001,2019,hodgepo01
Shota Imanaga,5,18.0,jp JP,Pitcher,*,,30,L,L,"5' 10""",175,Sep 1 1993,2016,imanash01
Ethan Roberts,6,39.0,us US,Pitcher,*,,26,R,R,"5' 10""",180,Jul 4 1997,2016,roberet01
Luke Little,7,43.0,us US,Pitcher,*,,23,L,L,"6' 8""",220,Aug 30 2000,2019,littllu01
Jack Neely,8,47.0,us US,Pitcher,*,,24,R,R,"6' 8""",245,Jun 5 2000,2019,neelyja01
Ben Brown,9,32.0,us US,Pitcher,*,,24,R,R,"6' 6""",210,Sep 9 1999,2017,brownbe02
Eli Morgan,10,33.0,us US,Pitcher,*,,28,R,R,"5' 10""",190,May 13 1996,2014,morgael01
Gavin Hollowell,11,46.0,us US,Pitcher,*,,26,R,R,"6' 7""",215,Nov 4 1997,2016,holloga01
Caleb Kilian,12,45.0,us US,Pitcher,*,,27,R,R,"6' 4""",180,Jun 2 1997,2017,kiliaca01
Tyson Miller,13,49.0,us US,Pitcher,*,,28,R,R,"6' 5""",220,Jul 29 1995,2014,millety01
Javier Assad,14,72.0,mx MX,Pitcher,*,,26,R,R,"6' 1""",200,Jul 30 1997,2016,assadja01
Nate Pearson,15,56.0,us US,Pitcher,*,,27,R,R,"6' 6""",255,Aug 20 1996,2016,pearsna01
Ryan Brasier,16,54.0,us US,Pitcher,*,,36,R,R,"6' 0""",223,Aug 26 1987,2007,brasiry01
Julian Merryweather,17,66.0,us US,Pitcher,*,,32,R,R,"6' 4""",215,Oct 14 1991,2014,merryju01
Justin Steele,18,35.0,us US,Pitcher,*,,28,L,L,"6' 2""",205,Jul 11 1995,2014,steelju01
Keegan Thompson,19,71.0,us US,Pitcher,*,,29,R,R,"6' 1""",210,Mar 13 1995,2014,thompke02
Cody Poteet,20,,us US,Pitcher,*,,29,R,R,"6' 1""",190,Jul 30 1994,2013,poteeco01
Matthew Boyd,21,16.0,us US,Pitcher,*,,33,L,L,"6' 3""",223,Feb 2 1991,2011,boydma01
Colin Rea,22,53.0,us US,Pitcher,*,,33,R,R,"6' 5""",220,Jul 1 1990,2010,reaco01
Jameson Taillon,23,50.0,us US,Pitcher,*,,32,R,R,"6' 5""",230,Nov 18 1991,2011,taillja01
Caleb Thielbar,24,24.0,us US,Pitcher,*,,37,R,L,"6' 0""",205,Jan 31 1987,2009,thielca01
Carson Kelly,25,15.0,us US,Position,*,,29,R,R,"6' 2""",212,Jul 14 1994,2012,kellyca02
Ben Cowles,26,79.0,us US,Position,*,,24,R,R,"6' 0""",180,Feb 15 2000,2018,redirect.fcgi?player=1&mlb_ID=701496
Jon Berti,27,5.0,us US,Position,*,,34,R,R,"5' 10""",190,Jan 22 1990,2010,bertijo01
Pete Crow-Armstrong,28,52.0,us US,Position,*,,22,L,L,"5' 11""",184,Mar 25 2002,2021,crowape01
Michael Busch,29,29.0,us US,Position,*,,26,L,R,"6' 1""",210,Nov 9 1997,2017,buschmi02
Owen Caissie,30,78.0,ca CA,Position,*,,21,L,R,"6' 3""",190,Jul 8 2002,2021,redirect.fcgi?player=1&mlb_ID=683357
Kevin Alcántara,31,13.0,do DO,Position,*,,21,R,R,"6' 6""",188,Jul 12 2002,2019,alcanke01
Kyle Tucker,32,30.0,us US,Position,*,,27,L,R,"6' 4""",212,Jan 17 1997,2015,tuckeky01
Seiya Suzuki,33,27.0,jp JP,Position,*,,29,R,R,"5' 11""",182,Aug 18 1994,2013,suzukse01
Alexander Canario,34,4.0,do DO,Position,*,,24,R,R,"5' 11""",212,May 7 2000,2017,canaral01
Gage Workman,35,25.0,,Position,*,,24,L,R,"6' 4""",202,Oct 24 1999,2018,redirect.fcgi?player=1&mlb_ID=669398
Dansby Swanson,36,7.0,us US,Position,*,,30,R,R,"6' 1""",190,Feb 11 1994,2013,swansda01
Vidal Bruján,37,17.0,do DO,Position,*,,26,S,R,"5' 10""",180,Feb 9 1998,2015,brujavi01
Miguel Amaya,38,9.0,pa PA,Position,*,,25,R,R,"6' 0""",230,Mar 9 1999,2016,amayami01
Ian Happ,39,8.0,us US,Position,*,,29,S,R,"6' 0""",205,Aug 12 1994,2013,happia01
Nico Hoerner,40,2.0,us US,Position,*,,27,R,R,"6' 1""",200,May 13 1997,2016,hoernni01
Blas Castano,1,,do DO,Pitcher,*,,25,R,R,"5' 10""",162,Sep 8 1998,2018,redirect.fcgi?player=1&mlb_ID=680604
Carlos Vargas,2,54.0,do DO,Pitcher,*,,24,R,R,"6' 4""",210,Oct 13 1999,2018,vargaca01
George Kirby,3,68.0,us US,Pitcher,*,,26,R,R,"6' 4""",215,Feb 4 1998,2017,kirbyge01
Logan Gilbert,4,36.0,us US,Pitcher,*,,27,R,R,"6' 6""",215,May 5 1997,2016,gilbelo01
Cody Bolton,5,67.0,us US,Pitcher,*,,26,R,R,"6' 2""",210,Jun 19 1998,2017,boltoco01
Casey Legumina,6,,us US,Pitcher,*,,27,R,R,"6' 2""",195,Jun 19 1997,2016,legumca01
Collin Snider,7,52.0,us US,Pitcher,*,,28,R,R,"6' 4""",195,Oct 10 1995,2015,snideco01
Hagen Danner,8,,us US,Pitcher,*,,25,R,R,"6' 1""",215,Sep 30 1998,2017,danneha01
Emerson Hancock,9,26.0,us US,Pitcher,*,,25,R,R,"6' 4""",213,May 31 1999,2018,hancoem01
Gregory Santos,10,48.0,do DO,Pitcher,*,,24,R,R,"6' 2""",190,Aug 28 1999,2016,santogr01
Matt Brash,11,47.0,ca CA,Pitcher,*,,26,R,R,"6' 1""",173,May 12 1998,2017,brashma01
Jackson Kowar,12,37.0,us US,Pitcher,*,,27,R,R,"6' 5""",200,Oct 4 1996,2016,kowarja01
Trent Thornton,13,46.0,us US,Pitcher,*,,30,R,R,"6' 0""",190,Sep 30 1993,2013,thorntr01
Andrés Muñoz,14,75.0,mx MX,Pitcher,*,,25,R,R,"6' 2""",222,Jan 16 1999,2016,munozan01
Bryce Miller,15,50.0,us US,Pitcher,*,,25,R,R,"6' 2""",200,Aug 23 1998,2018,millebr04
Eduard Bazardo,16,83.0,ve VE,Pitcher,*,,28,R,R,"6' 0""",190,Sep 1 1995,2015,bazared01
Gabe Speier,17,55.0,us US,Pitcher,*,,29,L,L,"5' 11""",200,Apr 12 1995,2013,speiega01
Tayler Saucedo,18,60.0,us US,Pitcher,*,,31,L,L,"6' 4""",205,Jun 18 1993,2015,sauceta01
Bryan Woo,19,22.0,us US,Pitcher,*,,24,R,R,"6' 2""",205,Jan 30 2000,2018,woobr01
Luis Castillo,20,58.0,do DO,Pitcher,*,,31,R,R,"6' 2""",200,Dec 12 1992,2012,castilu02
Will Klein,21,,us US,Pitcher,*,,24,R,R,"6' 5""",230,Nov 28 1999,2018,kleinwi01
Troy Taylor,22,59.0,us US,Pitcher,*,,22,R,R,"6' 0""",205,Sep 9 2001,2020,taylotr01
Austin Shenton,23,,us US,Position,*,,26,L,R,"6' 0""",205,Jan 22 1998,2016,shentau01
Julio Rodríguez,24,44.0,do DO,Position,*,,23,R,R,"6' 3""",228,Dec 29 2000,2018,rodriju01
Tyler Locklear,25,27.0,us US,Position,*,,23,R,R,"6' 2""",210,Nov 24 2000,2020,locklty01
Dominic Canzone,26,8.0,us US,Position,*,,26,L,R,"5' 11""",190,Aug 16 1997,2017,canzodo01
Blake Hunt,27,,us US,Position,*,,25,R,R,"6' 4""",215,Nov 10 1998,2017,redirect.fcgi?player=1&mlb_ID=675448
Miles Mastrobuoni,28,,us US,Position,*,,28,L,R,"5' 10""",185,Oct 31 1995,2015,mastrmi01
Luke Raley,29,20.0,us US,Position,*,,29,L,R,"6' 4""",235,Sep 19 1994,2014,raleylu01
Ryan Bliss,30,1.0,us US,Position,*,,24,R,R,"5' 7""",165,Dec 13 1999,2019,blissry01
Donovan Solano,31,39.0,co CO,Position,*,,36,R,R,"5' 8""",210,Dec 17 1987,2005,solando01
Randy Arozarena,32,56.0,cu CU,Position,*,,29,R,R,"5' 11""",185,Feb 28 1995,2013,arozara01
Dylan Moore,33,25.0,us US,Position,*,,31,R,R,"6' 0""",205,Aug 2 1992,2013,mooredy01
Cal Raleigh,34,29.0,us US,Position,*,,27,S,R,"6' 3""",235,Nov 26 1996,2016,raleica01
Leo Rivas,35,76.0,ve VE,Position,*,,26,S,R,"5' 8""",150,Oct 10 1997,2015,rivasle01
Víctor Robles,36,10.0,do DO,Position,*,,27,R,R,"6' 0""",193,May 19 1997,2014,roblevi01
Mitch Garver,37,18.0,us US,Position,*,,33,R,R,"6' 1""",220,Jan 15 1991,2011,garvemi01
J.P. Crawford,38,3.0,us US,Position,*,,29,L,R,"6' 2""",202,Jan 11 1995,2013,crawfjp01
Jorge Polanco,39,,do DO,Position,*,,30,S,R,"5' 11""",208,Jul 5 1993,2010,polanjo01
Mitch Haniger,40,17.0,us US,Position,*,,33,R,R,"6' 2""",214,Dec 23 1990,2011,hanigmi01
Tristan Beck,1,43.0,us US,Pitcher,*,,28,R,R,"6' 4""",165,Jun 24 1996,2016,becktr01
Ryan Walker,2,74.0,us US,Pitcher,*,,28,R,R,"6' 2""",200,Nov 26 1995,2015,walkery01
Justin Verlander,3,35.0,us US,Pitcher,*,,41,R,R,"6' 5""",235,Feb 20 1983,2005,verlaju01
Keaton Winn,4,67.0,us US,Pitcher,*,,26,R,R,"6' 4""",238,Feb 20 1998,2018,winnke01
Trevor McDonald,5,72.0,us US,Pitcher,*,,23,R,R,"6' 2""",200,Feb 26 2001,2019,mcdontr01
Randy Rodríguez,6,73.0,do DO,Pitcher,*,,24,R,R,"6' 0""",166,Sep 5 1999,2018,rodrira02
Erik Miller,7,68.0,us US,Pitcher,*,,26,L,L,"6' 5""",240,Feb 13 1998,2017,milleer01
Camilo Doval,8,75.0,do DO,Pitcher,*,,26,R,R,"6' 2""",185,Jul 4 1997,2016,dovalca01
Carson Ragsdale,9,,us US,Pitcher,*,,26,R,R,"6' 8""",225,May 25 1998,2017,redirect.fcgi?player=1&mlb_ID=685068
Kyle Harrison,10,45.0,us US,Pitcher,*,,22,R,L,"6' 2""",200,Aug 12 2001,2021,harriky01
Carson Seymour,11,,us US,Pitcher,*,,25,R,R,"6' 6""",260,Dec 16 1998,2018,redirect.fcgi?player=1&mlb_ID=693313
Jordan Hicks,12,12.0,us US,Pitcher,*,,27,R,R,"6' 2""",220,Sep 6 1996,2016,hicksjo03
Sean Hjelle,13,64.0,us US,Pitcher,*,,27,R,R,"6' 11""",228,May 7 1997,2016,hjellse01
Logan Webb,14,62.0,us US,Pitcher,*,,27,R,R,"6' 1""",220,Nov 18 1996,2014,webblo01
Landen Roupp,15,65.0,us US,Pitcher,*,,25,R,R,"6' 2""",205,Sep 10 1998,2018,rouppla01
Tyler Rogers,16,71.0,us US,Pitcher,*,,33,R,R,"6' 3""",181,Dec 17 1990,2012,rogerty01
Mason Black,17,47.0,us US,Pitcher,*,,24,R,R,"6' 3""",230,Dec 10 1999,2019,blackma01
Spencer Bivens,18,76.0,us US,Pitcher,*,,30,R,R,"6' 5""",205,Jun 28 1994,2017,bivensp01
Robbie Ray,19,38.0,us US,Pitcher,*,,32,L,L,"6' 2""",225,Oct 1 1991,2010,rayro02
Hayden Birdsong,20,60.0,us US,Pitcher,*,,22,R,R,"6' 4""",215,Aug 30 2001,2021,birdsha01
Luis Matos,21,29.0,ve VE,Position,*,,22,R,R,"5' 11""",160,Jan 28 2002,2019,matoslu02
Patrick Bailey,22,14.0,us US,Position,*,,25,S,R,"6' 0""",210,May 29 1999,2018,bailepa01
Wade Meckler,23,53.0,us US,Position,*,,24,L,R,"5' 9""",178,Apr 21 2000,2019,mecklwa01
Grant McCray,24,58.0,us US,Position,*,,23,L,R,"6' 2""",190,Dec 7 2000,2019,mccragr01
Brett Wisely,25,,us US,Position,*,,25,L,R,"5' 9""",180,May 8 1999,2019,wiselbr01
Jung Hoo Lee,26,51.0,jp JP,Position,*,,25,L,R,"6' 1""",192,Aug 20 1998,2017,leeju01
Marco Luciano,27,37.0,do DO,Position,*,,22,R,R,"6' 1""",178,Sep 10 2001,2019,luciama01
David Villar,28,32.0,us US,Position,*,,27,R,R,"6' 1""",215,Jan 27 1997,2016,villada01
Osleivis Basabe,29,,ve VE,Position,*,,23,R,R,"5' 11""",188,Sep 13 2000,2017,basabos01
Heliot Ramos,30,17.0,pr PR,Position,*,,24,R,R,"5' 11""",188,Sep 7 1999,2017,ramoshe02
Casey Schmitt,31,10.0,us US,Position,*,,25,R,R,"6' 2""",215,Mar 1 1999,2018,schmica01
Sam Huff,32,,us US,Position,*,,26,R,R,"6' 4""",240,Jan 14 1998,2016,huffsa01
Jerar Encarnacion,33,59.0,do DO,Position,*,,26,R,R,"6' 4""",250,Oct 22 1997,2016,encarje01
Tyler Fitzgerald,34,49.0,us US,Position,*,,26,R,R,"6' 1""",205,Sep 15 1997,2017,fitzgty01
LaMonte Wade Jr.,35,31.0,us US,Position,*,,30,L,L,"6' 1""",205,Jan 1 1994,2013,wadela01
Matt Chapman,36,26.0,us US,Position,*,,31,R,R,"6' 0""",215,Apr 28 1993,2012,chapmma01
Willy Adames,37,2.0,do DO,Position,*,,28,R,R,"6' 1""",219,Sep 2 1995,2013,adamewi01
Tom Murphy,38,19.0,us US,Position,*,,33,R,R,"6' 1""",206,Apr 3 1991,2011,murphto04
Mike Yastrzemski,39,5.0,us US,Position,*,,33,L,L,"5' 10""",178,Aug 23 1990,2010,yastrmi01
Wilmer Flores,40,41.0,ve VE,Position,*,,32,R,R,"6' 2""",213,Aug 6 1991,2008,florewi01
